City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Ouesso,CG,2021-04-02 00:08:14,1.6136,16.0517,71.65,89,57,1.97
97,Cabatuan,PH,2021-04-02 00:08:15,10.8794,122.486,79.36,74,100,14.07
98,Sitka,US,2021-04-02 00:08:15,57.0531,-135.33,35.6,75,90,4.61
99,Vila Franca Do Campo,PT,2021-04-02 00:08:16,37.7167,-25.4333,60.8,88,75,12.66
100,Mar Del Plata,AR,2021-04-02 00:07:39,-38.0023,-57.5575,66.0,77,0,8.05
101,Klaksvik,FO,2021-04-02 00:08:16,62.2266,-6.589,37.4,93,7,5.75
102,Itarema,BR,2021-04-02 00:08:16,-2.9248,-39.9167,77.45,83,69,10.07
103,Rawson,AR,2021-04-02 00:08:17,-43.3002,-65.1023,62.83,71,71,13.38
104,Kavieng,PG,2021-04-02 00:08:17,-2.5744,150.7967,82.56,78,99,8.48
105,Avarua,CK,2021-04-02 00:08:17,-21.2078,-159.775,86.0,66,20,12.66
106,Porto Novo,BJ,2021-04-02 00:08:18,6.4965,2.6036,80.19,84,82,4.5
107,General Roca,AR,2021-04-02 00:08:02,-39.0333,-67.5833,75.2,41,20,6.91
108,Uppsala,SE,2021-04-02 00:08:18,60.0,17.75,35.01,69,20,4.61
109,Port Blair,IN,2021-04-02 00:08:19,11.6667,92.75,80.47,65,100,10.0
110,Balingasay,PH,2021-04-02 00:08:19,16.3573,119.8564,81.54,63,56,13.24
111,Kamaishi,JP,2021-04-02 00:08:19,39.2667,141.8833,44.6,70,0,6.91
112,Honiara,SB,2021-04-02 00:08:20,-9.4333,159.95,86.05,68,80,7.52
113,Hobart,AU,2021-04-02 00:08:20,-42.8794,147.3294,64.0,72,75,4.61
114,Padang,ID,2021-04-02 00:08:20,-0.9492,100.3543,75.2,88,20,3.44
115,Simbahan,PH,2021-04-02 00:08:21,6.3032,120.5836,82.92,74,100,6.42
116,Sinnamary,GF,2021-04-02 00:08:21,5.3833,-52.95,77.45,84,94,11.88
117,Hambantota,LK,2021-04-02 00:08:21,6.1241,81.1185,78.6,84,18,14.54
118,Atambua,ID,2021-04-02 00:08:22,-9.1061,124.8925,73.74,94,100,6.08
119,Ust-Tsilma,RU,2021-04-02 00:08:22,65.441,52.1498,25.21,97,98,4.29
120,Pilar,BR,2021-04-02 00:08:22,-9.5972,-35.9567,77.0,88,0,6.91
121,Bredasdorp,ZA,2021-04-02 00:08:23,-34.5322,20.0403,62.6,72,100,2.3
122,Chapleau,CA,2021-04-02 00:08:23,47.8405,-83.4034,28.4,20,1,6.91
123,Mocuba,MZ,2021-04-02 00:08:23,-16.8392,36.9856,63.1,92,5,2.73
124,Daru,PG,2021-04-02 00:08:24,-9.0763,143.2092,78.26,88,100,1.66
125,Torbay,CA,2021-04-02 00:08:24,47.6666,-52.7314,37.4,56,90,6.91
126,Carutapera,BR,2021-04-02 00:08:25,-1.195,-46.02,76.44,88,100,4.7
127,Barra Do Garcas,BR,2021-04-02 00:08:25,-15.89,-52.2567,76.12,75,94,0.76
128,Ringwood,US,2021-04-02 00:08:25,41.1134,-74.2454,43.0,55,58,4.0
129,Kodiak,US,2021-04-02 00:08:26,57.79,-152.4072,28.4,40,1,25.32
130,Gat,IL,2021-04-02 00:08:26,31.61,34.7642,53.01,65,5,6.02
131,Taoudenni,ML,2021-04-02 00:08:26,22.6783,-3.9836,85.21,9,70,9.15
132,Surt,LY,2021-04-02 00:08:27,31.2089,16.5887,58.57,65,0,7.47
133,Visnes,NO,2021-04-02 00:08:27,59.3556,5.2242,43.0,81,40,14.97
134,Vanimo,PG,2021-04-02 00:08:27,-2.6741,141.3028,80.42,84,100,1.9
135,Noumea,NC,2021-04-02 00:06:04,-22.2763,166.4572,79.0,94,75,13.8
136,Olafsvik,IS,2021-04-02 00:08:28,64.8945,-23.7142,40.12,79,97,12.28
137,Thompson,CA,2021-04-02 00:08:28,55.7435,-97.8558,42.8,45,90,9.22
138,Norman Wells,CA,2021-04-02 00:08:28,65.282,-126.8329,5.0,72,90,20.71
139,Saint-Philippe,RE,2021-04-02 00:08:29,-21.3585,55.7679,77.0,73,90,8.05
140,Canton,CN,2021-04-02 00:08:01,23.1167,113.25,81.0,83,0,2.24
141,Broome,US,2021-04-02 00:08:29,42.2506,-75.833,32.0,80,75,11.5
142,Beringovskiy,RU,2021-04-02 00:08:30,63.05,179.3167,25.59,95,100,13.85
143,Talnakh,RU,2021-04-02 00:08:30,69.4865,88.3972,-15.99,86,8,7.52
144,Banjar,ID,2021-04-02 00:08:30,-8.19,114.9675,80.6,94,40,9.22
145,Khatanga,RU,2021-04-02 00:08:31,71.9667,102.5,-33.41,99,37,4.16
146,Doka,SD,2021-04-02 00:08:31,13.5167,35.7667,84.87,34,70,6.76
147,Yerbogachen,RU,2021-04-02 00:08:31,61.2767,108.0108,2.71,93,99,2.44
148,Dingle,PH,2021-04-02 00:08:32,10.9995,122.6711,79.7,75,100,11.07
149,Ribeira Grande,PT,2021-04-02 00:08:32,38.5167,-28.7,60.53,81,91,26.08
150,Claresholm,CA,2021-04-02 00:08:32,50.0333,-113.5852,60.8,14,70,35.68
151,Marawi,PH,2021-04-02 00:08:33,7.9986,124.2928,74.79,85,100,1.97
152,Shubarkuduk,KZ,2021-04-02 00:08:33,49.1447,56.4872,22.21,83,0,8.34
153,Fortuna,US,2021-04-02 00:08:33,40.5982,-124.1573,63.0,67,1,11.5
154,Bandarbeyla,SO,2021-04-02 00:08:34,9.4942,50.8122,75.83,75,27,3.22
155,Faanui,PF,2021-04-02 00:08:34,-16.4833,-151.75,82.62,69,86,8.48
156,Barentu,ER,2021-04-02 00:08:35,15.1139,37.5928,77.49,50,76,4.99
157,Batemans Bay,AU,2021-04-02 00:08:35,-35.7167,150.1833,75.99,67,73,1.01
158,Ardesen,TR,2021-04-02 00:08:35,41.1911,40.9875,46.4,93,75,2.3
159,Manakara,MG,2021-04-02 00:08:10,-22.1333,48.0167,74.77,77,99,6.64
160,Lebu,CL,2021-04-02 00:08:36,-37.6167,-73.65,55.99,90,60,11.72
161,Yebaishou,CN,2021-04-02 00:08:36,41.3975,119.6408,56.59,33,100,7.07
162,Makakilo City,US,2021-04-02 00:08:37,21.3469,-158.0858,84.2,48,20,9.22
163,Belomorsk,RU,2021-04-02 00:08:37,64.5232,34.7668,27.37,94,44,5.46
164,Sensuntepeque,SV,2021-04-02 00:08:37,13.8667,-88.6333,87.8,37,0,14.97
165,Ustka,PL,2021-04-02 00:08:37,54.5805,16.8619,36.86,87,14,3.74
166,Alekseyevka,RU,2021-04-02 00:08:38,50.6309,38.6903,44.47,74,32,10.63
167,Mongar,BT,2021-04-02 00:08:38,27.2747,91.2396,44.28,73,0,7.96
168,Ashqelon,IL,2021-04-02 00:08:38,31.6693,34.5715,53.6,62,0,3.44
169,Katsuura,JP,2021-04-02 00:08:39,35.1333,140.3,64.0,72,75,12.66
170,Havoysund,NO,2021-04-02 00:08:39,70.9963,24.6622,28.4,80,90,2.3
171,Hualmay,PE,2021-04-02 00:08:39,-11.0964,-77.6139,70.09,81,39,10.78
172,Hami,CN,2021-04-02 00:08:40,42.8,93.45,44.31,20,0,4.29
173,Dali,CN,2021-04-02 00:08:40,25.7,100.1833,51.46,76,5,4.72
174,Guerrero Negro,MX,2021-04-02 00:08:40,27.9769,-114.0611,68.5,54,2,14.23
175,Port Moresby,PG,2021-04-02 00:08:41,-9.4431,147.1797,77.0,94,75,16.11
176,Chuy,UY,2021-04-02 00:08:41,-33.6971,-53.4616,63.95,67,48,7.65
177,Goderich,CA,2021-04-02 00:08:41,43.7501,-81.7165,28.4,54,78,19.57
178,Taltal,CL,2021-04-02 00:08:42,-25.4,-70.4833,65.46,77,16,4.68
179,Geraldton,AU,2021-04-02 00:08:42,-28.7667,114.6,77.0,88,90,4.61
180,Narsaq,GL,2021-04-02 00:08:42,60.9167,-46.05,35.6,80,75,2.3
181,Saskylakh,RU,2021-04-02 00:08:43,71.9167,114.0833,-31.31,100,100,5.06
182,Takoradi,GH,2021-04-02 00:08:43,4.8845,-1.7554,79.95,86,13,8.81
