City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Srednekolymsk,RU,67.45,153.6833,13.48,75,10,10.2,clear sky
149,Ilulissat,GL,69.2167,-51.1,-0.4,60,22,3.44,few clouds
150,Nanortalik,GL,60.1432,-45.2371,35.06,89,100,11.41,overcast clouds
151,Leona Vicario,MX,20.9667,-87.1917,77.0,65,40,11.5,scattered clouds
152,Quatre Cocos,MU,-20.2078,57.7625,84.99,83,75,14.97,light rain
153,Khatanga,RU,71.9667,102.5,1.0,77,7,9.01,clear sky
154,Davila,PH,18.4726,120.5763,87.8,74,20,9.22,few clouds
155,Ussel,FR,45.55,2.3167,37.0,21,17,10.87,few clouds
156,Klaksvik,FO,62.2266,-6.589,44.6,93,90,28.77,light intensity drizzle
157,Malgrat De Mar,ES,41.6466,2.7414,52.0,66,75,6.91,broken clouds
158,Borogontsy,RU,62.6683,131.1683,6.75,72,100,4.03,overcast clouds
159,Paducah,US,37.0834,-88.6001,46.99,61,1,7.07,clear sky
160,Naze,JP,28.3667,129.4833,71.6,83,75,10.36,broken clouds
161,Ishinomaki,JP,38.4167,141.3,57.2,88,75,6.91,light rain
162,Visegrad,BA,43.7847,19.2992,30.2,93,90,5.75,overcast clouds
163,Kodiak,US,57.79,-152.4072,42.8,70,1,0.65,clear sky
164,Komsomolskiy,UZ,40.4272,71.7189,57.2,26,100,2.8,overcast clouds
165,Moen,NO,69.1304,18.6123,30.2,93,90,2.3,snow
166,Waipawa,NZ,-41.4122,175.5153,64.4,63,9,29.93,clear sky
167,Khalkhal,IR,37.6189,48.5258,40.98,61,0,6.13,clear sky
168,Coihaique,CL,-45.5752,-72.0662,49.89,88,100,4.14,overcast clouds
169,Sola,VU,-13.8833,167.55,82.76,77,99,15.08,overcast clouds
170,Birjand,IR,32.8663,59.2211,60.8,11,0,16.11,clear sky
171,Kara,TG,9.5511,1.1861,76.89,58,31,1.97,scattered clouds
172,Gorontalo,ID,0.5412,123.0595,90.99,55,84,5.84,broken clouds
173,Ketchikan,US,55.3422,-131.6461,30.16,92,26,3.53,scattered clouds
174,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,80,90,9.22,overcast clouds
175,Oussouye,SN,12.485,-16.5469,68.88,80,4,4.92,clear sky
176,Airai,TL,-8.9266,125.4092,61.54,94,100,6.89,overcast clouds
177,Kemi,FI,65.8596,24.8228,35.6,87,0,9.22,clear sky
178,Waingapu,ID,-9.6567,120.2641,78.17,87,100,8.37,light rain
179,Brae,GB,60.3964,-1.353,44.6,93,90,29.93,overcast clouds
180,Taungdwingyi,MM,20.0167,95.55,69.87,81,100,3.24,overcast clouds
181,Thanh Hoa,VN,19.8,105.7667,85.03,60,74,8.12,broken clouds
182,Linxia,CN,35.6003,103.2064,43.45,68,94,3.44,overcast clouds
183,Souillac,MU,-20.5167,57.5167,82.4,83,75,14.97,light rain
184,Cap Malheureux,MU,-19.9842,57.6142,84.99,72,12,7.0,few clouds
185,Madison,US,34.7334,-86.5667,44.01,81,1,2.95,clear sky
186,Hithadhoo,MV,-0.6,73.0833,83.79,74,79,15.59,broken clouds
187,Ostersund,SE,63.1792,14.6357,39.2,65,90,16.11,overcast clouds
188,Vostok,RU,46.4856,135.8833,37.17,37,90,10.56,overcast clouds
189,Takoradi,GH,4.8845,-1.7554,78.53,89,14,4.27,few clouds
190,Port Elizabeth,ZA,-33.918,25.5701,53.6,87,0,3.44,clear sky
191,Manakara,MG,-22.1333,48.0167,75.88,75,4,3.24,clear sky
192,Lufilufi,WS,-13.8745,-171.5986,84.2,84,75,5.75,broken clouds
193,Dikson,RU,73.5069,80.5464,-3.59,72,98,4.5,overcast clouds
194,Yozgat,TR,39.5833,35.3333,46.2,59,29,4.0,scattered clouds
