City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
116,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
117,Alofi,NU,82.4,few clouds,-19.0595,-169.9187,Taloa Heights
119,Wajir,KE,80.6,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
122,Poum,NC,80.55,overcast clouds,-20.2333,164.0167,Gîte kajeon
124,Sao Jose Da Coroa Grande,BR,77.22,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
127,Padang,ID,84.2,heavy intensity rain,-0.9492,100.3543,Mercure Padang
129,Nongpoh,IN,82.4,haze,25.9,91.8833,PWD IB
135,Lima,PE,71.01,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
138,Cabo San Lucas,MX,70.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
139,Esperance,AU,82.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
151,Leona Vicario,MX,77.0,scattered clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
152,Quatre Cocos,MU,84.99,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
160,Naze,JP,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
169,Sola,VU,82.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
171,Kara,TG,76.89,scattered clouds,9.5511,1.1861,Hotel Ma Vision B2K
175,Oussouye,SN,68.88,clear sky,12.485,-16.5469,Auberge du Routard
178,Waingapu,ID,78.17,light rain,-9.6567,120.2641,Pondok Wisata Elim
180,Taungdwingyi,MM,69.87,overcast clouds,20.0167,95.55,NayNaing MobileService
183,Souillac,MU,82.4,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Cap Malheureux,MU,84.99,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Hithadhoo,MV,83.79,broken clouds,-0.6,73.0833,Scoop Guest House
189,Takoradi,GH,78.53,few clouds,4.8845,-1.7554,Raybow International Hotel
191,Manakara,MG,75.88,clear sky,-22.1333,48.0167,La Residence Manakara
192,Lufilufi,WS,84.2,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
200,Lorengau,PG,81.66,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
201,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
203,Tripoli,LY,73.4,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
211,Manga,BF,78.48,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
212,Noumea,NC,82.4,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
214,San Cristobal,VE,67.68,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
217,Sungaipenuh,ID,76.75,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
218,Fandriana,MG,66.74,clear sky,-20.2333,47.3833,Fandriana
230,Rumonge,BI,71.29,broken clouds,-3.9736,29.4386,Kwetu Guest House
